entidad,municipio,sembrada,cosechada,siniestrada,produccion,rendimiento_udm_ha_,anio,mes
Michoacán,Irimbo,182.0,43.82,0.0,310.99,7.1,2020,6
Michoacán,Jiménez,560.0,500.0,0.0,2875.6,5.75,2020,6
Michoacán,Jiquilpan,150.0,70.0,0.0,450.0,6.43,2020,6
Michoacán,Juárez,40.0,9.58,0.0,100.43,10.48,2020,6
Michoacán,Jungapeo,23.5,13.9,0.0,86.49,6.22,2020,6
Michoacán,Lagunillas,37.0,26.0,0.0,103.5,3.98,2020,6
Michoacán,Madero,1665.0,1438.0,0.0,10600.0,7.37,2020,6
Michoacán,Maravatío,9.0,2.16,0.0,16.85,7.8,2020,6
Michoacán,Morelia,1369.0,1198.0,0.0,7970.0,6.65,2020,6
Michoacán,Morelos,137.0,92.0,0.0,570.5,6.2,2020,6
Michoacán,Nocupétaro,6.0,6.0,0.0,39.0,6.5,2020,6
Michoacán,Nuevo Parangaricutiro,8940.0,8940.0,0.0,42900.0,4.8,2020,6
Michoacán,Nuevo Urecho,293.35,208.1,0.0,1200.0,5.77,2020,6
Michoacán,Ocampo,94.3,20.93,0.0,157.45,7.52,2020,6
Michoacán,Pajacuarán,6.0,6.0,0.0,30.0,5.0,2020,6
Michoacán,Pátzcuaro,1090.0,863.0,0.0,4350.7,5.04,2020,6
Michoacán,Peribán,11716.0,11705.0,0.0,75500.0,6.45,2020,6
Michoacán,Purépero,859.0,851.0,0.0,3900.0,4.58,2020,6
Michoacán,Queréndaro,32.0,18.0,0.0,102.0,5.67,2020,6
Michoacán,Quiroga,20.0,20.0,0.0,98.5,4.93,2020,6
Michoacán,Los Reyes,6329.0,6314.0,0.0,40350.0,6.39,2020,6
Michoacán,Sahuayo,10.0,10.0,0.0,50.0,5.0,2020,6
Michoacán,Salvador Escalante,16515.0,16205.0,0.0,76230.8,4.7,2020,6
Michoacán,Susupuato,203.3,48.74,0.0,479.57,9.84,2020,6
Michoacán,Tacámbaro,17110.0,16969.0,0.0,84057.8,4.95,2020,6
Michoacán,Tancítaro,22940.0,22940.0,0.0,109000.0,4.75,2020,6
Michoacán,Tangamandapio,3056.0,3056.0,0.0,17850.0,5.84,2020,6
Michoacán,Tangancícuaro,1854.0,1850.0,0.0,10065.0,5.44,2020,6
Michoacán,Tanhuato,10.0,2.0,0.0,12.7,6.35,2020,6
Michoacán,Taretan,2300.0,2300.0,0.0,11350.0,4.93,2020,6
Michoacán,Tarímbaro,2.0,2.0,0.0,10.2,5.1,2020,6
Michoacán,Tepalcatepec,17.0,0.0,0.0,0.0,0.0,2020,6
Michoacán,Tingambato,4150.0,4150.0,0.0,19500.0,4.7,2020,6
Michoacán,Tingüindín,5351.0,5336.0,0.0,35110.0,6.58,2020,6
Michoacán,Tlazazalca,274.0,270.0,0.0,1345.0,4.98,2020,6
Michoacán,Tocumbo,1038.0,1023.0,0.0,6300.0,6.16,2020,6
Michoacán,Turicato,6347.0,6045.0,0.0,28476.6,4.71,2020,6
Michoacán,Tuxpan,380.0,177.32,0.0,1272.08,7.17,2020,6
