Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
2003,17,Morelos,94,Zacatepec-Galeana,4,Yautepec,20,Tepoztlán,34.0,34.0,0.0,272.0,8.0,4500.0,1224000.0
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,110,San Lucas,25.0,25.0,0.0,156.25,6.25,1200.0,187500.0
2003,17,Morelos,94,Zacatepec-Galeana,4,Yautepec,9,Huitzilac,0.4,0.4,0.0,3.4,8.5,4100.0,13940.0
2003,17,Morelos,94,Zacatepec-Galeana,4,Yautepec,2,Atlatlahucan,4.0,4.0,0.0,36.0,9.0,4600.0,165600.0
2003,17,Morelos,94,Zacatepec-Galeana,2,Alpuyeca,21,Tetecala,3.0,3.0,0.0,36.0,12.0,5100.0,183600.0
2003,17,Morelos,94,Zacatepec-Galeana,1,Galeana,24,Tlaltizapán de Zapata,11.0,11.0,0.0,99.0,9.0,3950.0,391050.0
2003,17,Morelos,94,Zacatepec-Galeana,1,Galeana,17,Puente de Ixtla,2.0,2.0,0.0,18.0,9.0,4600.0,82800.0
2003,16,Michoacán,93,Zitácuaro,4,Zitácuaro,112,Zitácuaro,600.0,600.0,0.0,4200.0,7.0,3000.0,12600000.0
2003,16,Michoacán,90,Pátzcuaro,3,Tacámbaro,82,Tacámbaro,150.0,150.0,0.0,1003.0,6.69,5000.0,5015000.0
2003,16,Michoacán,93,Zitácuaro,4,Zitácuaro,112,Zitácuaro,395.0,392.03,0.0,3136.24,8.0,3000.0,9408720.0
2003,16,Michoacán,93,Zitácuaro,4,Zitácuaro,61,Ocampo,15.0,15.0,0.0,105.0,7.0,3000.0,315000.0
2003,16,Michoacán,93,Zitácuaro,4,Zitácuaro,61,Ocampo,8.5,8.5,0.0,59.5,7.0,3000.0,178500.0
2003,16,Michoacán,93,Zitácuaro,4,Zitácuaro,46,Juárez,21.0,21.0,0.0,189.0,9.0,3000.0,567000.0
2003,16,Michoacán,93,Zitácuaro,3,Ciudad Hidalgo,98,Tuxpan,52.0,52.0,0.0,416.0,8.0,6400.0,2662400.0
2003,16,Michoacán,93,Zitácuaro,3,Ciudad Hidalgo,47,Jungapeo,6.0,6.0,0.0,42.0,7.0,6500.0,273000.0
2003,16,Michoacán,93,Zitácuaro,3,Ciudad Hidalgo,34,Hidalgo,22.0,22.0,0.0,154.0,7.0,6500.0,1001000.0
2003,16,Michoacán,91,Morelia,4,Queréndaro,110,Zinapécuaro,2.0,2.0,0.0,10.0,5.0,3000.0,30000.0
2003,16,Michoacán,91,Morelia,4,Queréndaro,110,Zinapécuaro,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,16,Michoacán,91,Morelia,3,Álvaro Obregón,88,Tarímbaro,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,16,Michoacán,91,Morelia,1,Morelia,49,Madero,195.0,195.0,0.0,1170.0,6.0,5000.0,5850000.0
2003,16,Michoacán,91,Morelia,1,Morelia,1,Acuitzio,357.0,177.0,0.0,1062.0,6.0,5000.0,5310000.0
2003,16,Michoacán,90,Pátzcuaro,4,Turicato,97,Turicato,200.0,200.0,0.0,1328.0,6.64,4900.0,6507200.0
2003,16,Michoacán,93,Zitácuaro,4,Zitácuaro,81,Susupuato,161.5,161.5,0.0,1130.5,7.0,3000.0,3391500.0
2003,16,Michoacán,86,Uruapan,2,Ziracuaretiro,87,Taretan,203.0,148.0,0.0,1036.0,7.0,7000.0,7252000.0
2003,16,Michoacán,86,Uruapan,2,Ziracuaretiro,111,Ziracuaretiro,376.0,316.0,0.0,3160.0,10.0,6800.0,21488000.0
2003,16,Michoacán,86,Uruapan,1,Parangaricutiro,102,Uruapan,11708.0,11708.0,0.0,103307.0,8.82,7000.0,723149000.0
2003,15,México,76,Tejupilco,2,Temascaltepec,86,Temascaltepec,13.0,13.0,0.0,95.0,7.31,5500.0,522500.0
2003,15,México,76,Tejupilco,2,Temascaltepec,86,Temascaltepec,18.0,18.0,0.0,196.0,10.89,4500.0,882000.0
2003,16,Michoacán,86,Uruapan,1,Parangaricutiro,102,Uruapan,4880.0,4791.0,0.0,43119.0,9.0,7000.0,301833000.0
2003,15,México,76,Tejupilco,2,Temascaltepec,77,San Simón de Guerrero,2.0,2.0,0.0,21.0,10.5,5000.0,105000.0
2003,15,México,76,Tejupilco,1,Luvianos,123,Luvianos,4.0,4.0,0.0,27.0,6.75,6500.0,175500.0
2003,15,México,75,Texcoco,7,Atlautla,68,Ozumba,1.0,1.0,0.0,6.9,6.9,3800.0,26220.0
2003,15,México,75,Texcoco,7,Atlautla,34,Ecatzingo,1.0,1.0,0.0,7.1,7.1,3500.0,24850.0
2003,15,México,75,Texcoco,7,Atlautla,15,Atlautla,6.0,6.0,0.0,41.4,6.9,3600.0,149040.0
2003,15,México,75,Texcoco,5,Amecameca,9,Amecameca,2.0,2.0,0.0,14.0,7.0,3100.0,43400.0
2003,14,Jalisco,72,Colotlán,4,Chimaltitán,76,San Martín de Bolaños,1.0,1.0,0.0,8.0,8.0,12000.0,96000.0
2003,14,Jalisco,72,Colotlán,4,Chimaltitán,31,Chimaltitán,1.0,1.0,0.0,8.0,8.0,12000.0,96000.0
2003,14,Jalisco,72,Colotlán,4,Chimaltitán,19,Bolaños,6.0,6.0,0.0,48.0,8.0,12000.0,576000.0
2003,15,México,76,Tejupilco,3,Tejupilco,82,Tejupilco,9.0,9.0,0.0,61.0,6.78,5500.0,335500.0
