Anio,Idestado,Nomestado,Volumenproduccion,Precio,Valorproduccion
2003,20,Oaxaca,28.0,2615.5,73234.0
2003,20,Oaxaca,21.0,2700.0,56700.0
2003,21,Puebla,100.0,10000.0,1000000.0
2003,21,Puebla,1840.0,10000.0,18400000.0
2003,21,Puebla,1710.0,10000.0,17100000.0
2003,21,Puebla,90.0,3000.0,270000.0
2003,21,Puebla,204.0,3000.0,612000.0
2003,21,Puebla,34.0,4200.0,142800.0
2003,21,Puebla,120.0,4200.0,504000.0
2003,21,Puebla,214.0,4200.0,898800.0
2003,21,Puebla,180.0,4200.0,756000.0
2003,21,Puebla,858.0,4200.0,3603600.0
2003,21,Puebla,128.0,4200.0,537600.0
2003,21,Puebla,480.0,4200.0,2016000.0
2003,20,Oaxaca,14.0,2600.0,36400.0
2003,21,Puebla,100.0,4200.0,420000.0
2003,21,Puebla,102.0,4200.0,428400.0
2003,21,Puebla,84.0,4200.0,352800.0
2003,21,Puebla,306.0,3000.0,918000.0
2003,21,Puebla,194.0,3000.0,582000.0
2003,21,Puebla,7.2,6300.0,45360.0
2003,21,Puebla,50.0,6700.0,335000.0
2003,20,Oaxaca,56.0,2750.0,154000.0
2003,20,Oaxaca,98.0,2800.0,274400.0
2003,20,Oaxaca,48.0,5360.0,257280.0
2003,20,Oaxaca,24.5,2700.0,66150.0
2003,20,Oaxaca,24.5,2700.0,66150.0
2003,20,Oaxaca,7.0,2600.0,18200.0
2003,21,Puebla,100.0,4200.0,420000.0
2003,21,Puebla,252.0,10000.0,2520000.0
2003,20,Oaxaca,4.0,8000.0,32000.0
2003,20,Oaxaca,4.0,8000.0,32000.0
2003,19,Nuevo León,310.5,4000.0,1242000.0
2003,19,Nuevo León,1548.0,4000.0,6192000.0
2003,19,Nuevo León,9.0,8000.0,72000.0
2003,19,Nuevo León,20.8,6000.0,124800.0
2003,19,Nuevo León,1568.0,9000.0,14112000.0
2003,19,Nuevo León,80.0,5000.0,400000.0
2003,19,Nuevo León,214.4,8000.0,1715200.0
2003,19,Nuevo León,124.8,8000.0,998400.0
2003,18,Nayarit,2389.6,3000.0,7168800.0
2003,18,Nayarit,552.5,3000.0,1657500.0
2003,18,Nayarit,7176.0,1000.0,7176000.0
2003,18,Nayarit,74.4,1000.0,74400.0
2003,20,Oaxaca,27.8,6500.0,180700.0
2003,18,Nayarit,4885.6,2900.0,14168240.0
2003,18,Nayarit,0.0,0.0,0.0
2003,7,Chiapas,58.8,1200.0,70560.0
2003,18,Nayarit,40.25,3000.0,120750.0
2003,18,Nayarit,8.0,3000.0,24000.0
2003,18,Nayarit,14.0,2000.0,28000.0
2003,18,Nayarit,40.5,5000.0,202500.0
2003,18,Nayarit,10.8,7000.0,75600.0
2003,18,Nayarit,0.0,0.0,0.0
2003,18,Nayarit,19.25,4000.0,77000.0
2003,2,Baja California,0.0,0.0,0.0
2003,18,Nayarit,0.0,0.0,0.0
2003,18,Nayarit,0.0,0.0,0.0
2003,18,Nayarit,340.0,5000.0,1700000.0
2003,20,Oaxaca,28.0,8000.0,224000.0
2003,20,Oaxaca,13.9,6500.0,90350.0
2003,20,Oaxaca,138.8,6500.0,902200.0
2003,20,Oaxaca,3.0,8000.0,24000.0
2003,20,Oaxaca,3.0,6000.0,18000.0
2003,20,Oaxaca,35.0,6000.0,210000.0
2003,20,Oaxaca,12.0,6000.0,72000.0
2003,20,Oaxaca,6.0,6000.0,36000.0
2003,20,Oaxaca,20.0,6000.0,120000.0
2003,20,Oaxaca,108.0,6000.0,648000.0
2003,20,Oaxaca,54.0,6000.0,324000.0
2003,20,Oaxaca,144.0,6000.0,864000.0
2003,20,Oaxaca,36.0,6000.0,216000.0
2003,20,Oaxaca,30.0,6000.0,180000.0
2003,20,Oaxaca,48.0,6000.0,288000.0
2003,20,Oaxaca,69.5,6500.0,451750.0
2003,20,Oaxaca,12.0,6000.0,72000.0
2003,20,Oaxaca,36.0,6000.0,216000.0
2003,20,Oaxaca,162.0,6000.0,972000.0
2003,20,Oaxaca,36.0,6000.0,216000.0
2003,20,Oaxaca,90.0,6000.0,540000.0
2003,20,Oaxaca,42.0,6000.0,252000.0
2003,20,Oaxaca,78.0,6000.0,468000.0
2003,20,Oaxaca,60.0,6000.0,360000.0
2003,20,Oaxaca,120.0,6000.0,720000.0
2003,20,Oaxaca,168.0,6000.0,1008000.0
2003,20,Oaxaca,252.0,6000.0,1512000.0
2003,20,Oaxaca,180.0,6000.0,1080000.0
2003,20,Oaxaca,24.0,6000.0,144000.0
2003,20,Oaxaca,72.0,6000.0,432000.0
2003,17,Morelos,1980.0,5200.0,10296000.0
2003,21,Puebla,880.0,9500.0,8360000.0
2003,21,Puebla,60.0,6500.0,390000.0
2003,31,Yucatán,1360.0,5000.0,6800000.0
2003,31,Yucatán,0.0,0.0,0.0
2003,31,Yucatán,64.0,2000.0,128000.0
2003,31,Yucatán,2.6,4000.0,10400.0
2003,31,Yucatán,2.0,4000.0,8000.0
2003,31,Yucatán,12.0,4000.0,48000.0
2003,31,Yucatán,64.0,4000.0,256000.0
2003,31,Yucatán,160.0,4000.0,640000.0
2003,31,Yucatán,96.0,4000.0,384000.0
2003,31,Yucatán,64.0,4000.0,256000.0
2003,31,Yucatán,32.0,4000.0,128000.0
2003,31,Yucatán,0.0,0.0,0.0
2003,31,Yucatán,40.0,3000.0,120000.0
2003,31,Yucatán,8.0,2000.0,16000.0
2003,31,Yucatán,8.0,2000.0,16000.0
2003,31,Yucatán,8.0,2000.0,16000.0
2003,31,Yucatán,8.0,2000.0,16000.0
2003,31,Yucatán,8.0,2000.0,16000.0
2003,31,Yucatán,14.0,3000.0,42000.0
2003,31,Yucatán,0.0,0.0,0.0
2003,31,Yucatán,10.0,4000.0,40000.0
2003,31,Yucatán,4.0,3000.0,12000.0
2003,31,Yucatán,0.0,0.0,0.0
2003,31,Yucatán,16.0,3000.0,48000.0
2003,31,Yucatán,0.0,0.0,0.0
2003,31,Yucatán,18.0,3000.0,54000.0
2003,31,Yucatán,8.0,2000.0,16000.0
2003,31,Yucatán,28.0,2000.0,56000.0
2003,31,Yucatán,592.0,5000.0,2960000.0
2003,31,Yucatán,2300.0,5000.0,11500000.0
2003,7,Chiapas,6.0,2500.0,15000.0
2003,32,Zacatecas,175.0,2000.0,350000.0
2003,32,Zacatecas,75.0,9000.0,675000.0
