entidad,sembrada,cosechada,siniestrada,produccion,rendimiento_udm_ha_,anio,mes
Jalisco,26670.79,20920.06,0.0,220689.71,10.55,2020,11
México,11295.67,9811.36,0.0,116368.4,11.86,2020,11
Michoacán,169939.45,166062.9,0.0,1577570.48,9.5,2020,11
Morelos,5731.0,5579.0,0.0,50402.5,9.03,2020,11
Nayarit,7724.3,6875.8,0.0,62585.68,9.1,2020,11
Nuevo León,691.95,691.45,0.0,2932.38,4.24,2020,11
Oaxaca,3424.15,2560.42,0.0,10433.27,4.07,2020,11
Puebla,3132.76,2347.66,0.0,16940.49,7.22,2020,11
Querétaro,176.0,113.5,0.0,298.9,2.63,2020,11
San Luis Potosí,66.0,30.0,0.0,184.99,6.17,2020,11
Sinaloa,148.5,22.5,0.0,238.45,10.6,2020,11
Sonora,418.8,30.0,0.0,389.4,12.98,2020,11
Tabasco,59.0,59.0,0.0,306.18,5.19,2020,11
Tamaulipas,4.0,0.0,0.0,0.0,0.0,2020,11
Tlaxcala,27.0,25.0,0.0,197.5,7.9,2020,11
Veracruz,897.0,677.13,0.0,7300.71,10.78,2020,11
Yucatán,523.28,367.82,107.26,8946.72,24.32,2020,11
Zacatecas,45.5,41.5,0.0,294.06,7.09,2020,11
Total,241140.11,223437.96,107.26,2123494.54,9.5,2020,11
Aguascalientes,55.85,25.0,0.0,325.75,13.03,2020,12
Baja California,64.5,46.5,0.0,249.45,5.36,2020,12
Baja California Sur,110.0,66.0,0.0,401.3,6.08,2020,12
Campeche,90.5,76.0,0.0,872.88,11.49,2020,12
Colima,743.5,697.5,0.0,7302.47,10.47,2020,12
Chiapas,3350.71,2306.21,0.0,16221.13,7.03,2020,12
Durango,1095.73,1053.94,0.0,3270.54,3.1,2020,12
Guanajuato,293.2,209.5,0.0,1594.17,7.61,2020,12
Guerrero,3466.27,2897.37,0.0,19957.02,6.89,2020,12
Hidalgo,894.7,551.7,0.0,3557.35,6.45,2020,12
Jalisco,26670.79,20920.06,0.0,248127.16,11.86,2020,12
México,11295.67,9930.11,0.0,118264.77,11.91,2020,12
Michoacán,169939.45,166062.9,0.0,1795695.61,10.81,2020,12
Morelos,5731.0,5579.0,0.0,50402.5,9.03,2020,12
Nayarit,7724.3,6885.8,0.0,69598.69,10.11,2020,12
Nuevo León,691.95,691.45,0.0,2932.38,4.24,2020,12
Oaxaca,3424.15,2560.42,0.0,12778.83,4.99,2020,12
Puebla,3132.76,2347.66,0.0,16940.49,7.22,2020,12
Querétaro,176.0,126.5,0.0,376.64,2.98,2020,12
San Luis Potosí,66.0,30.0,0.0,184.99,6.17,2020,12
Sinaloa,148.5,122.5,0.0,2038.45,16.64,2020,12
Sonora,418.8,30.0,0.0,389.4,12.98,2020,12
Tabasco,59.0,59.0,0.0,306.18,5.19,2020,12
Tamaulipas,4.0,0.0,0.0,0.0,0.0,2020,12
Tlaxcala,27.0,25.0,0.0,197.5,7.9,2020,12
Veracruz,897.0,684.0,0.0,7389.38,10.8,2020,12
Yucatán,523.28,400.32,107.26,8946.72,22.35,2020,12
Zacatecas,45.5,41.5,0.0,294.06,7.09,2020,12
Total,241140.11,224425.94,107.26,2388615.81,10.64,2020,12
